Comment,Designator,Footprint,LCSC
470R,R9,R_0402_1005Metric,
RED,D7,LED_0603_1608Metric,
RED,D1,LED_0603_1608Metric,
AO3480C,Q1,SOT-23,
470R,R2,R_0402_1005Metric,
INA180A4IDBVR,U2,SOT-23-5,
STM32C011F6Px,U3,TSSOP-20_4.4x6.5mm_P0.65mm,
SD103AWS,D6,D_SOD-323,
AO3480C,Q4,SOT-23,
AO3480C,Q3,SOT-23,
10k,R3,R_0402_1005Metric,
2m,R1,R_0805_2012Metric,
SD103AWS,D8,D_SOD-323,
100n,C7,C_0402_1005Metric,
10u,C8,C_0805_2012Metric,
470R,R7,R_0402_1005Metric,
AO3480C,Q2,SOT-23,
10u,C3,C_0805_2012Metric,
SD103AWS,D4,D_SOD-323,
100n,C10,C_0402_1005Metric,
1k,R4,R_0402_1005Metric,
470R,R5,R_0402_1005Metric,
100n,C11,C_0402_1005Metric,
10k,R6,R_0402_1005Metric,
RED,D5,LED_0603_1608Metric,
1n,C2,C_0402_1005Metric,
10u,C1,C_0805_2012Metric,
4.7u,C6,C_0603_1608Metric,
FC JST 1.0mm Connector,J3,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,
10u,C5,C_0805_2012Metric,
10u,C4,C_0805_2012Metric,
10k,R10,R_0402_1005Metric,
SD103AWS,D2,D_SOD-323,
RED,D3,LED_0603_1608Metric,
10u,C9,C_0805_2012Metric,
HT7533S,U1,SOT-23-3,
10k,R8,R_0402_1005Metric,
