Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,148.8948,-109.3328,0.0,top
C2,1n,C_0402_1005Metric,143.51,-103.6518,-90.0,top
C3,10u,C_0805_2012Metric,148.844,-103.6828,0.0,top
C4,10u,C_0805_2012Metric,158.628862,-113.161831,135.0,top
C5,10u,C_0805_2012Metric,158.474399,-88.208338,-135.0,top
C6,4.7u,C_0603_1608Metric,141.605,-96.3168,-90.0,top
C7,100n,C_0402_1005Metric,140.2588,-96.3676,-90.0,top
C8,10u,C_0805_2012Metric,133.659592,-113.4364,45.0,top
C9,10u,C_0805_2012Metric,133.6548,-88.2904,-45.0,top
C10,100n,C_0402_1005Metric,145.7012,-106.4268,-90.0,top
C11,100n,C_0402_1005Metric,141.5796,-98.8568,90.0,top
D1,RED,LED_0603_1608Metric,163.861262,-118.546631,45.0,top
D2,SD103AWS,D_SOD-323,157.206462,-114.482631,135.0,top
D3,RED,LED_0603_1608Metric,163.859199,-82.975938,135.0,top
D4,SD103AWS,D_SOD-323,159.795199,-89.630738,-135.0,top
D5,RED,LED_0603_1608Metric,128.274792,-118.6688,-45.0,top
D6,SD103AWS,D_SOD-323,132.338792,-112.014,45.0,top
D7,RED,LED_0603_1608Metric,128.4224,-82.9056,-135.0,top
D8,SD103AWS,D_SOD-323,135.0772,-86.9696,-45.0,top
J1,M1,Conn_01x02_VBAT_one_round,166.193223,-120.86352,-135.0,top
J2,Battery,Conn_01x02_VBAT_BIG,146.15,-116.4,180.0,top
J3,FC JST 1.0mm Connector,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,145.8976,-85.852,180.0,top
J4,M2,Conn_01x02_VBAT_one_round,166.176088,-80.643977,-45.0,top
J5,M3,Conn_01x02_VBAT_one_round,125.957903,-121.000761,135.0,top
J6,M4,Conn_01x02_VBAT_one_round,126.090439,-80.588711,45.0,top
J7,FC 1.27mm Pin Connector,PinHeader_1x08_P1.27mm_Vertical,145.8976,-86.106,-90.0,top
J14,SWD Debug,PinHeader_1x03_P1.27mm_Vertical,163.449,-99.91,0.0,top
Q1,AO3480C,SOT-23,154.818862,-109.351831,-45.0,top
Q2,AO3480C,SOT-23,154.664399,-92.018338,45.0,top
Q3,AO3480C,SOT-23,137.469592,-109.6264,-135.0,top
Q4,AO3480C,SOT-23,137.4648,-92.1004,135.0,top
R1,2m,R_0805_2012Metric,142.9512,-109.3018,0.0,top
R2,470R,R_0402_1005Metric,160.6804,-111.0488,135.0,top
R3,10k,R_0402_1005Metric,159.949662,-111.790231,135.0,top
R4,1k,R_0402_1005Metric,142.2908,-103.6518,90.0,top
R5,470R,R_0402_1005Metric,156.340799,-86.125538,-135.0,top
R6,10k,R_0402_1005Metric,157.102799,-86.887538,-135.0,top
R7,470R,R_0402_1005Metric,135.793192,-115.5192,45.0,top
R8,10k,R_0402_1005Metric,135.031192,-114.7572,45.0,top
R9,470R,R_0402_1005Metric,131.572,-90.424,-45.0,top
R10,10k,R_0402_1005Metric,132.334,-89.662,-45.0,top
U1,HT7533S,SOT-23-3,148.844,-106.5078,180.0,top
U2,INA180A4IDBVR,SOT-23-5,142.9512,-106.4768,0.0,top
U3,STM32C011F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,146.558,-97.8408,0.0,top
